Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-149c,,0.144,55.328328,0.281,,transit,2014,,,5381,
Kepler-149d,,0.353,160.018032,0.571,,transit,2014,,,5381,
Kepler-150b,,0.112,3.428054,0.044,,transit,2014,,,5560,
Kepler-150c,,0.329,7.381998,0.073,,transit,2014,,,5560,
Kepler-150d,,0.249,12.56093,0.104,,transit,2014,,,5560,
Kepler-150e,,0.278,30.826557,0.189,,transit,2014,,,5560,
Kepler-151b,,0.273,15.228958,0.116,,transit,2014,,0.83,5460,
Kepler-151c,,0.186,24.674612,0.16,,transit,2014,,0.83,5460,
Kepler-152b,,0.249,18.207973,0.124,,transit,2014,,,5088,
Kepler-152c,,0.213,88.255055,0.356,,transit,2014,,,5088,
Kepler-153b,,0.261,18.870227,0.129,,transit,2014,,,5404,
Kepler-153c,,0.226,46.90232,0.237,,transit,2014,,,5404,
Kepler-154b,,0.202,33.040532,0.198,,transit,2014,,0.89,5690,
Kepler-154c,,0.263,62.303276,0.303,,transit,2014,,0.89,5690,
Kepler-155b,,0.186,5.931194,0.056,,transit,2014,,0.58,4508,
Kepler-155c,,0.2,52.661793,0.242,,transit,2014,,0.58,4508,
Kepler-156b,,0.205,4.973456,0.054,,transit,2014,,,5094,
Kepler-156c,,0.227,15.906801,0.117,,transit,2014,,,5094,
Kepler-157b,,0.118,1.732342,0.028,,transit,2014,,,5774,
Kepler-157c,,0.2,13.5405,0.11,,transit,2014,,,5774,
Kepler-158b,,0.189,16.709184,0.111,,transit,2014,,,4623,
Kepler-158c,,0.17,28.551383,0.158,,transit,2014,,,4623,
Kepler-159b,,0.212,10.139623,0.082,,transit,2014,,,4625,
Kepler-159c,,0.304,43.595792,0.218,,transit,2014,,,4625,
Kepler-160b,,0.137,4.309427,0.05,,transit,2014,,,5857,
Kepler-160c,,0.322,13.699087,0.109,,transit,2014,,,5857,
Kepler-161b,,0.189,4.921355,0.054,,transit,2014,,0.77,5078,
Kepler-161c,,0.183,7.06424,0.068,,transit,2014,,0.77,5078,
Kepler-162b,,0.112,6.919798,0.069,,transit,2014,,,5816,
Kepler-162c,,0.27,19.446355,0.137,,transit,2014,,,5816,
Kepler-163b,,0.094,7.810937,0.078,,transit,2014,,0.96,5776,
Kepler-163c,,0.202,21.347262,0.152,,transit,2014,,0.96,5776,
Kepler-164b,,0.126,5.03503,0.058,,transit,2014,,1.11,5888,
Kepler-164c,,0.244,10.945723,0.097,,transit,2014,,1.11,5888,
Kepler-164d,,0.219,28.986769,0.187,,transit,2014,,1.11,5888,
Kepler-165b,,0.207,8.180848,0.072,,transit,2014,,,5211,
Kepler-165c,,0.199,15.31299,0.11,,transit,2014,,,5211,
Kepler-166b,,0.203,7.650254,0.072,,transit,2014,,,5413,
Kepler-166c,,0.212,34.260281,0.195,,transit,2014,,,5413,
Kepler-167b,,0.144,4.3931632,0.0483,,transit,2014,1100,0.77,4890,
Kepler-167c,,0.138,7.406114,0.0684,,transit,2014,1100,0.77,4890,
Kepler-168b,,0.13,4.425391,0.056,,transit,2014,,,6282,
Kepler-168c,,0.24,13.193242,0.116,,transit,2014,,,6282,
Kepler-169b,,0.101,3.250619,0.04,,transit,2014,,0.86,4997,
Kepler-169c,,0.108,6.195469,0.062,,transit,2014,,0.86,4997,
Kepler-169d,,0.112,8.348125,0.075,,transit,2014,,0.86,4997,
Kepler-169e,,0.196,13.767102,0.105,,transit,2014,,0.86,4997,
Kepler-169f,,0.23,87.090195,0.359,,transit,2014,,0.86,4997,
Kepler-170b,,0.285,7.930592,0.08,,transit,2014,,,5679,
Kepler-170c,,0.255,16.665863,0.131,,transit,2014,,,5679,
Kepler-171b,,0.209,4.166972,0.05,,transit,2014,,,5642,
Kepler-171c,,0.228,11.463462,0.098,,transit,2014,,,5642,
Kepler-171d,,0.169,39.595519,0.223,,transit,2014,,,5642,
Kepler-172b,,0.21,2.940309,0.04,,transit,2014,,0.86,5526,
Kepler-172c,,0.255,6.388996,0.068,,transit,2014,,0.86,5526,
Kepler-172d,,0.201,14.627119,0.118,,transit,2014,,0.86,5526,
Kepler-172e,,0.246,35.118736,0.211,,transit,2014,,0.86,5526,
Kepler-173b,,0.115,4.263742,0.048,,transit,2014,,0.78,6031,
Kepler-173c,,0.217,8.005777,0.074,,transit,2014,,0.78,6031,
Kepler-174b,,0.175,13.98179,0.1,,transit,2014,,,4880,
Kepler-174c,,0.133,44.000529,0.214,,transit,2014,,,4880,
Kepler-174d,,0.195,247.35373,0.677,,transit,2014,,,4880,
Kepler-175b,,0.228,11.903515,0.105,,transit,2014,,1.04,6064,
Kepler-175c,,0.277,34.035257,0.213,,transit,2014,,1.04,6064,
Kepler-176b,,0.128,5.433074,0.058,,transit,2014,,,5232,
Kepler-176c,,0.232,12.759712,0.102,,transit,2014,,,5232,
Kepler-176d,,0.224,25.751974,0.163,,transit,2014,,,5232,
Kepler-178b,,0.259,9.576694,0.085,,transit,2014,,,5676,
Kepler-178c,,0.257,20.552802,0.142,,transit,2014,,,5676,
Kepler-178d,,0.352,96.678988,0.397,,transit,2014,,,5676,
Kepler-179b,,0.146,2.735926,0.036,,transit,2014,,,5302,
Kepler-179c,,0.178,6.40013,0.064,,transit,2014,,,5302,
Kepler-180b,,0.134,13.817124,0.109,,transit,2014,,0.84,5731,
Kepler-180c,,0.269,41.885775,0.229,,transit,2014,,0.84,5731,
Kepler-181b,,0.113,3.137873,0.04,,transit,2014,,,5333,
Kepler-181c,,0.178,4.302149,0.049,,transit,2014,,,5333,
Kepler-182b,,0.23,9.825792,0.096,,transit,2014,,1.14,6250,
Kepler-182c,,0.306,20.684342,0.157,,transit,2014,,1.14,6250,
Kepler-183b,,0.184,5.687945,0.064,,transit,2014,,,5888,
Kepler-183c,,0.203,11.637071,0.103,,transit,2014,,,5888,
Kepler-184b,,0.211,10.687576,0.092,,transit,2014,,,5788,
Kepler-184c,,0.176,20.303005,0.141,,transit,2014,,,5788,
Kepler-184d,,0.222,29.022358,0.179,,transit,2014,,,5788,
Kepler-185b,,0.104,1.6329,0.026,,transit,2014,,0.79,5208,
Kepler-185c,,0.18,20.729042,0.139,,transit,2014,,0.79,5208,
Kepler-186b,,0.095,3.8867907,0.0343,,transit,2014,560,0.54,3755,
Kepler-186c,,0.112,7.267302,0.0451,,transit,2014,560,0.54,3755,
Kepler-186d,,0.125,13.342996,0.0781,,transit,2014,560,0.54,3755,
Kepler-186e,,0.113,22.407704,0.11,,transit,2014,560,0.54,3755,
Kepler-186f,,0.104,129.9441,0.432,,transit,2014,560,0.54,3755,Potentially habitable exoplanet
Kepler-187b,,0.126,4.938864,0.059,,transit,2014,,0.85,6105,
Kepler-187c,,0.238,10.640263,0.099,,transit,2014,,0.85,6105,
Kepler-188b,,0.15,2.061897,0.032,,transit,2014,,,6021,
Kepler-188c,,0.285,5.996553,0.066,,transit,2014,,,6021,
Kepler-189b,,0.108,10.399931,0.088,,transit,2014,,0.79,5235,
Kepler-189c,,0.212,20.134866,0.137,,transit,2014,,0.79,5235,
Kepler-190b,,0.139,2.019999,0.03,,transit,2014,,0.84,5106,
Kepler-190c,,0.13,3.763024,0.045,,transit,2014,,0.84,5106,
Kepler-191b,,0.12,9.939632,0.087,,transit,2014,,0.85,5282,
Kepler-191c,,0.166,17.738506,0.128,,transit,2014,,0.85,5282,
Kepler-192b,,0.244,9.926746,0.09,,transit,2014,,,5479,
Kepler-192c,,0.249,21.2234,0.15,,transit,2014,,,5479,
Kepler-193b,,0.213,11.38848,0.106,,transit,2014,,,6335,
Kepler-193c,,0.245,50.697494,0.286,,transit,2014,,,6335,
Kepler-194b,,0.135,2.092281,0.032,,transit,2014,,,6089,
Kepler-194c,,0.231,17.308032,0.131,,transit,2014,,,6089,
Kepler-194d,,0.214,52.814973,0.275,,transit,2014,,,6089,
Kepler-195b,,0.181,8.307872,0.077,,transit,2014,,,5329,
Kepler-195c,,0.138,34.096863,0.197,,transit,2014,,,5329,
Kepler-196b,,0.17,20.739886,0.138,,transit,2014,,,5128,
Kepler-196c,,0.2,47.427737,0.24,,transit,2014,,,5128,
Kepler-197b,,0.091,5.599308,0.06,,transit,2014,,,6004,
Kepler-197c,,0.11,10.349695,0.09,,transit,2014,,,6004,
Kepler-197d,,0.109,15.677563,0.119,,transit,2014,,,6004,
Kepler-197e,,0.081,25.209715,0.164,,transit,2014,,,6004,
Kepler-198b,,0.252,17.790037,0.131,,transit,2014,,0.93,5574,
Kepler-198c,,0.22,49.567416,0.259,,transit,2014,,0.93,5574,
Kepler-199b,,0.277,23.637604,0.158,,transit,2014,,,5644,
Kepler-199c,,0.29,67.093408,0.316,,transit,2014,,,5644,
Kepler-200b,,0.19,8.594805,0.08,,transit,2014,,,5678,
Kepler-200c,,0.142,10.222157,0.09,,transit,2014,,,5678,
Kepler-201b,,0.219,25.672083,0.175,,transit,2014,,1.17,6065,
Kepler-201c,,0.254,151.884058,0.573,,transit,2014,,1.17,6065,
Kepler-202b,,0.145,4.069427,0.045,,transit,2014,,,4668,
Kepler-202c,,0.165,16.282493,0.113,,transit,2014,,,4668,
Kepler-203b,,0.229,3.162697,0.043,,transit,2014,,0.98,5821,
Kepler-203c,,0.22,5.370647,0.061,,transit,2014,,0.98,5821,
Kepler-203d,,0.128,11.32972,0.1,,transit,2014,,0.98,5821,
Kepler-204b,,0.226,14.400974,0.117,,transit,2014,,0.96,5812,
Kepler-204c,,0.16,25.660593,0.173,,transit,2014,,0.96,5812,
Kepler-205b,,0.135,2.75564,0.032,,transit,2014,,,4321,
Kepler-205c,,0.146,20.306546,0.122,,transit,2014,,,4321,
Kepler-206b,,0.107,7.781987,0.078,,transit,2014,,0.94,5764,
Kepler-206c,,0.158,13.137471,0.111,,transit,2014,,0.94,5764,
Kepler-206d,,0.106,23.44281,0.163,,transit,2014,,0.94,5764,
Kepler-207b,,0.14,1.611865,0.029,,transit,2014,,,5920,
Kepler-207c,,0.134,3.071571,0.044,,transit,2014,,,5920,
Kepler-207d,,0.295,5.868075,0.068,,transit,2014,,,5920,
Kepler-208b,,0.145,4.22864,0.054,,transit,2014,,1.03,6092,
Kepler-208c,,0.124,7.466623,0.079,,transit,2014,,1.03,6092,
Kepler-208d,,0.107,11.131786,0.103,,transit,2014,,1.03,6092,
Kepler-208e,,0.132,16.259458,0.132,,transit,2014,,1.03,6092,
Kepler-209b,,0.202,16.087845,0.122,,transit,2014,,,5513,
Kepler-209c,,0.277,41.749882,0.231,,transit,2014,,,5513,
Kepler-210b,,0.262,2.453234,0.032,,transit,2014,,,4559,
Kepler-210c,,0.323,7.972513,0.07,,transit,2014,,,4559,
Kepler-211b,,0.112,4.138575,0.048,,transit,2014,,0.97,5123,
Kepler-211c,,0.115,6.04045,0.062,,transit,2014,,0.97,5123,
Kepler-212b,,0.097,16.257582,0.133,,transit,2014,,1.16,5852,
Kepler-212c,,0.244,31.805174,0.207,,transit,2014,,1.16,5852,
Kepler-213b,,0.145,2.46236,0.036,,transit,2014,,0.94,5696,
Kepler-213c,,0.209,4.822962,0.057,,transit,2014,,0.94,5696,
Kepler-214b,,0.233,15.660544,0.13,,transit,2014,,,6169,
Kepler-214c,,0.19,28.7798,0.194,,transit,2014,,,6169,
Kepler-215b,,0.145,9.360672,0.084,,transit,2014,,0.77,5739,
Kepler-215c,,0.158,14.667108,0.113,,transit,2014,,0.77,5739,
Kepler-215d,,0.213,30.864423,0.185,,transit,2014,,0.77,5739,
Kepler-215e,,0.156,68.16101,0.314,,transit,2014,,0.77,5739,
Kepler-216b,,0.21,7.693641,0.079,,transit,2014,,,6091,
Kepler-216c,,0.271,17.406669,0.136,,transit,2014,,,6091,
Kepler-217b,,0.199,5.374943,0.065,,transit,2014,,,6171,
Kepler-217c,,0.165,8.586004,0.089,,transit,2014,,,6171,
Kepler-218b,,0.132,3.619337,0.046,,transit,2014,,,5502,
Kepler-218c,,0.28,44.699576,0.248,,transit,2014,,,5502,
Kepler-219b,,0.263,4.585512,0.057,,transit,2014,,,5786,
Kepler-219c,,0.319,22.714613,0.165,,transit,2014,,,5786,
Kepler-219d,,0.251,47.903645,0.272,,transit,2014,,,5786,
Kepler-220b,,0.072,4.159807,0.046,,transit,2014,,,4632,
Kepler-220c,,0.14,9.034199,0.076,,transit,2014,,,4632,
Kepler-220d,,0.087,28.122397,0.163,,transit,2014,,,4632,
Kepler-220e,,0.119,45.902733,0.226,,transit,2014,,,4632,
Kepler-221b,,0.153,2.795906,0.037,,transit,2014,,0.72,5243,
Kepler-221c,,0.261,5.690586,0.059,,transit,2014,,0.72,5243,
Kepler-221d,,0.244,10.04156,0.087,,transit,2014,,0.72,5243,
Kepler-221e,,0.235,18.369917,0.13,,transit,2014,,0.72,5243,
Kepler-222b,,0.282,3.936981,0.048,,transit,2014,,,5433,
Kepler-222c,,0.414,10.08881,0.091,,transit,2014,,,5433,
Kepler-222d,,0.329,28.081912,0.18,,transit,2014,,,5433,
Kepler-223b,0.02328,0.267,7.38449,,,transit,2014,,1.12,,
Kepler-223c,0.01605,0.307,9.84564,,,transit,2014,,1.12,,
Kepler-223d,0.02517,0.467,14.78869,,,transit,2014,,1.12,,
Kepler-223e,0.0151,0.41,19.72567,,,transit,2014,,1.12,,
Kepler-224b,,0.124,3.132924,0.038,,transit,2014,,0.74,5018,
Kepler-224c,,0.278,5.925003,0.058,,transit,2014,,0.74,5018,
Kepler-224d,,0.205,11.349393,0.089,,transit,2014,,0.74,5018,
Kepler-224e,,0.176,18.643577,0.124,,transit,2014,,0.74,5018,
Kepler-225b,,0.107,6.738975,0.056,,transit,2014,,,3682,
Kepler-225c,,0.164,18.794234,0.111,,transit,2014,,,3682,
Kepler-226b,,0.138,3.940997,0.047,,transit,2014,,0.86,5571,
Kepler-226c,,0.203,5.349555,0.058,,transit,2014,,0.86,5571,
Kepler-226d,,0.109,8.109044,0.076,,transit,2014,,0.86,5571,
Kepler-227b,,0.277,9.488015,0.09,,transit,2014,,,5854,
Kepler-227c,,0.271,54.418694,0.29,,transit,2014,,,5854,
Kepler-228b,,0.136,2.566546,0.038,,transit,2014,,,6043,
Kepler-228c,,0.241,4.134444,0.052,,transit,2014,,,6043,
Kepler-228d,,0.36,11.094286,0.101,,transit,2014,,,6043,
Kepler-229b,,0.196,6.252972,0.062,,transit,2014,,,5120,
Kepler-229c,,0.439,16.068638,0.117,,transit,2014,,,5120,
Kepler-229d,,0.343,41.194912,0.22,,transit,2014,,,5120,
Kepler-230b,,0.38,32.625555,0.191,,transit,2014,,,5588,
Kepler-230c,,0.182,91.773242,0.38,,transit,2014,,,5588,
Kepler-231b,,0.154,10.065275,0.074,,transit,2014,,0.58,3767,
Kepler-231c,,0.172,19.271566,0.114,,transit,2014,,0.58,3767,
Kepler-232b,,0.275,4.431222,0.054,,transit,2014,,,5847,
Kepler-232c,,0.342,11.379349,0.101,,transit,2014,,,5847,
Kepler-233b,,0.217,8.472382,0.077,,transit,2014,,,5360,
Kepler-233c,,0.242,60.418955,0.287,,transit,2014,,,5360,
Kepler-234b,,0.33,2.711506,0.04,,transit,2014,,,6224,
Kepler-234c,,0.313,7.21205,0.077,,transit,2014,,,6224,
Kepler-235b,,0.199,3.340222,0.037,,transit,2014,,0.59,4255,
Kepler-235c,,0.114,7.824904,0.065,,transit,2014,,0.59,4255,
Kepler-235d,,0.183,20.060548,0.122,,transit,2014,,0.59,4255,
Kepler-235e,,0.198,46.183669,0.213,,transit,2014,,0.59,4255,
Kepler-236b,,0.14,8.295611,0.065,,transit,2014,,0.56,3750,
Kepler-236c,,0.178,23.968127,0.132,,transit,2014,,0.56,3750,
Kepler-237b,,0.126,4.715106,0.05,,transit,2014,,0.7,4861,
Kepler-237c,,0.186,8.103636,0.071,,transit,2014,,0.7,4861,
Kepler-238b,,0.154,2.090876,0.034,,transit,2014,,1.06,5751,
Kepler-238c,,0.213,6.155557,0.069,,transit,2014,,1.06,5751,
Kepler-238d,,0.274,13.233549,0.115,,transit,2014,,1.06,5751,
Kepler-239b,,0.208,11.763051,0.095,,transit,2014,,0.74,4914,
Kepler-239c,,0.224,56.228098,0.268,,transit,2014,,0.74,4914,
Kepler-240b,,0.122,4.144495,0.048,,transit,2014,,,4985,
Kepler-240c,,0.196,7.953528,0.074,,transit,2014,,,4985,
Kepler-241b,,0.208,12.718092,0.094,,transit,2014,,,4699,
Kepler-241c,,0.229,36.065978,0.189,,transit,2014,,,4699,
Kepler-242b,,0.233,8.20395,0.075,,transit,2014,,,5020,
Kepler-242c,,0.178,14.496481,0.109,,transit,2014,,,5020,
Kepler-243b,,0.219,5.715442,0.062,,transit,2014,,0.89,5228,
Kepler-243c,,0.178,20.026218,0.142,,transit,2014,,0.89,5228,
Kepler-244b,,0.246,4.311792,0.05,,transit,2014,,,5554,
Kepler-244c,,0.183,9.767292,0.087,,transit,2014,,,5554,
Kepler-244d,,0.206,20.050401,0.14,,transit,2014,,,5554,
Kepler-245b,,0.229,7.49019,0.071,,transit,2014,,0.8,5100,
Kepler-245c,,0.194,17.460812,0.124,,transit,2014,,0.8,5100,
Kepler-245d,,0.27,36.277108,0.202,,transit,2014,,0.8,5100,
Kepler-246b,,0.209,4.60182,0.052,,transit,2014,,0.86,5206,
Kepler-246c,,0.134,11.187161,0.095,,transit,2014,,0.86,5206,
Kepler-247b,,0.146,3.33616,0.042,,transit,2014,,,5100,
Kepler-247c,,0.365,9.439452,0.084,,transit,2014,,,5100,
Kepler-247d,,0.352,20.477912,0.14,,transit,2014,,,5100,
Kepler-248b,,0.269,6.308205,0.066,,transit,2014,,,5190,
Kepler-248c,,0.363,16.239494,0.123,,transit,2014,,,5190,
Kepler-249b,,0.097,3.306539,0.035,,transit,2014,,,3568,
Kepler-249c,,0.135,7.113702,0.058,,transit,2014,,,3568,
Kepler-249d,,0.14,15.368459,0.097,,transit,2014,,,3568,
Kepler-250b,,0.101,4.148141,0.048,,transit,2014,,0.8,5160,
Kepler-250c,,0.203,7.156804,0.069,,transit,2014,,0.8,5160,
Kepler-250d,,0.194,17.648312,0.127,,transit,2014,,0.8,5160,
Kepler-251b,,0.119,4.790936,0.053,,transit,2014,,0.91,5526,
Kepler-251c,,0.247,16.514043,0.122,,transit,2014,,0.91,5526,
Kepler-251d,,0.247,30.133001,0.182,,transit,2014,,0.91,5526,
Kepler-251e,,0.247,99.640161,0.404,,transit,2014,,0.91,5526,
Kepler-252b,,0.11,6.668391,0.058,,transit,2014,,0.52,4208,
Kepler-252c,,0.192,10.848463,0.08,,transit,2014,,0.52,4208,
Kepler-253b,,0.145,3.783986,0.046,,transit,2014,,,5208,
Kepler-253c,,0.236,10.281951,0.089,,transit,2014,,,5208,
Kepler-253d,,0.283,18.119869,0.13,,transit,2014,,,5208,
Kepler-254b,,0.345,5.826662,0.064,,transit,2014,,,5957,
Kepler-254c,,0.192,12.412183,0.105,,transit,2014,,,5957,
Kepler-254d,,0.223,18.746477,0.139,,transit,2014,,,5957,
Kepler-255b,,0.138,5.714606,0.063,,transit,2014,,0.97,5573,
Kepler-255c,,0.267,9.946047,0.092,,transit,2014,,0.97,5573,
Kepler-256b,,0.142,1.620493,0.027,,transit,2014,,1.02,5551,
Kepler-256c,,0.192,3.38802,0.045,,transit,2014,,1.02,5551,
Kepler-256d,,0.221,5.839172,0.064,,transit,2014,,1.02,5551,
Kepler-256e,,0.21,10.681572,0.096,,transit,2014,,1.02,5551,
Kepler-257b,,0.233,2.382667,0.034,,transit,2014,,,5180,
Kepler-257c,,0.483,6.581484,0.066,,transit,2014,,,5180,
Kepler-257d,,0.442,24.664551,0.16,,transit,2014,,,5180,
Kepler-258b,,0.362,13.19722,0.103,,transit,2014,,0.8,4942,
Kepler-258c,,0.322,33.653079,0.193,,transit,2014,,0.8,4942,
Kepler-259b,,0.25,8.115317,0.079,,transit,2014,,,5938,
Kepler-259c,,0.241,36.924931,0.217,,transit,2014,,,5938,
Kepler-260b,,0.179,8.187399,0.075,,transit,2014,,0.88,5250,
Kepler-260c,,0.155,76.050178,0.332,,transit,2014,,0.88,5250,
Kepler-261b,,0.194,10.381227,0.088,,transit,2014,,0.87,5098,
Kepler-261c,,0.178,24.570858,0.156,,transit,2014,,0.87,5098,
Kepler-262b,,0.121,13.060855,0.108,,transit,2014,,,5841,
Kepler-262c,,0.146,21.853722,0.152,,transit,2014,,,5841,
Kepler-263b,,0.238,16.568087,0.12,,transit,2014,,,5265,
Kepler-263c,,0.22,47.332773,0.242,,transit,2014,,,5265,
Kepler-264b,,0.297,40.806231,0.249,,transit,2014,,1.32,6158,
Kepler-264c,,0.252,140.101261,0.566,,transit,2014,,1.32,6158,
Kepler-265b,,0.166,6.846262,0.069,,transit,2014,,1.03,5835,
Kepler-265c,,0.235,17.028937,0.127,,transit,2014,,1.03,5835,
Kepler-265d,,0.222,43.130617,0.236,,transit,2014,,1.03,5835,
Kepler-265e,,0.231,67.831024,0.319,,transit,2014,,1.03,5835,
Kepler-266b,,0.221,6.61833,0.071,,transit,2014,,0.99,5885,
Kepler-266c,,0.347,107.723601,0.457,,transit,2014,,0.99,5885,
Kepler-267b,,0.177,3.353728,0.037,,transit,2014,,0.56,4258,
Kepler-267c,,0.19,6.87745,0.06,,transit,2014,,0.56,4258,
Kepler-267d,,0.203,28.464515,0.154,,transit,2014,,0.56,4258,
Kepler-268b,,0.227,25.934138,0.18,,transit,2014,,,6081,
Kepler-268c,,0.302,83.446393,0.391,,transit,2014,,,6081,
Kepler-269b,,0.22,5.326718,0.061,,transit,2014,,0.98,5847,
Kepler-269c,,0.151,8.127899,0.081,,transit,2014,,0.98,5847,
Kepler-270b,,0.179,11.476094,0.107,,transit,2014,,,6067,
Kepler-270c,,0.158,25.262887,0.18,,transit,2014,,,6067,
Kepler-271b,,0.079,5.217738,0.056,,transit,2014,,,5524,
Kepler-271c,,0.089,7.410935,0.071,,transit,2014,,,5524,
Kepler-272b,,0.128,2.971353,0.038,,transit,2014,,0.79,5297,
Kepler-272c,,0.16,6.057342,0.061,,transit,2014,,0.79,5297,
Kepler-272d,,0.201,10.937304,0.091,,transit,2014,,0.79,5297,
Kepler-273b,,0.134,2.936532,0.037,,transit,2014,,,5626,
Kepler-273c,,0.177,8.014927,0.073,,transit,2014,,,5626,
Kepler-274b,,0.137,11.634788,0.101,,transit,2014,,,6023,
Kepler-274c,,0.164,33.197861,0.204,,transit,2014,,,6023,
Kepler-275b,,0.209,10.300682,0.098,,transit,2014,,1.24,6165,
Kepler-275c,,0.302,16.088134,0.132,,transit,2014,,1.24,6165,
Kepler-275d,,0.297,35.676062,0.224,,transit,2014,,1.24,6165,
Kepler-276b,,0.256,14.12841,0.119,,transit,2014,,1.1,6105,
Kepler-278b,,0.363,30.160546,0.207,,transit,2014,,,4991,
Kepler-278c,,0.32,51.078775,0.294,,transit,2014,,,4991,
Kepler-279b,,0.323,12.309681,0.112,,transit,2014,,1.1,6363,
Kepler-280b,,0.129,2.139542,0.032,,transit,2014,,0.91,5744,
Kepler-280c,,0.179,4.807091,0.056,,transit,2014,,0.91,5744,
Kepler-281b,,0.252,14.646008,0.117,,transit,2014,,0.98,5723,
Kepler-281c,,0.474,36.337373,0.215,,transit,2014,,0.98,5723,
Kepler-282b,,0.09,9.220524,0.082,,transit,2014,,0.97,5602,
Kepler-282c,,0.107,13.638723,0.106,,transit,2014,,0.97,5602,
Kepler-283b,,0.19,11.008151,0.082,,transit,2014,,,4351,
Kepler-283c,,0.162,92.743711,0.341,,transit,2014,,,4351,
Kepler-284b,,0.2,12.699149,0.104,,transit,2014,,,5615,
Kepler-284c,,0.233,37.514456,0.213,,transit,2014,,,5615,
Kepler-285b,,0.12,2.633867,0.036,,transit,2014,,0.85,5411,
Kepler-285c,,0.1,6.186676,0.064,,transit,2014,,0.85,5411,
Kepler-286b,,0.111,1.796302,0.027,,transit,2014,,,5580,
Kepler-286c,,0.122,3.468095,0.042,,transit,2014,,,5580,
Kepler-286d,,0.119,5.914323,0.061,,transit,2014,,,5580,
Kepler-286e,,0.158,29.221289,0.176,,transit,2014,,,5580,
Kepler-287b,,0.208,20.342199,0.145,,transit,2014,,,5806,
Kepler-287c,,0.291,44.851896,0.246,,transit,2014,,,5806,
Kepler-288b,,0.149,6.097326,0.065,,transit,2014,,0.89,5918,
Kepler-288c,,0.254,19.305772,0.14,,transit,2014,,0.89,5918,
Kepler-288d,,0.238,56.633742,0.287,,transit,2014,,0.89,5918,
Kepler-289b,0.023,0.192,34.545,0.21,,transit,2014,2300,1.08,5990,
Kepler-289c,0.42,1.034,125.8518,0.51,,transit,2014,2300,1.08,5990,
Kepler-289d,0.013,0.239,66.0634,0.33,,transit,2014,2300,1.08,5990,
Kepler-290b,,0.201,14.589347,0.11,,transit,2014,,,5147,
Kepler-290c,,0.241,36.77031,0.205,,transit,2014,,,5147,
Kepler-291b,,0.193,3.546511,0.047,,transit,2014,,1.03,6002,
Kepler-291c,,0.168,5.700786,0.065,,transit,2014,,1.03,6002,
Kepler-292b,,0.118,2.580827,0.035,,transit,2014,,0.88,5299,
Kepler-292c,,0.131,3.715335,0.045,,transit,2014,,0.88,5299,
Kepler-292d,,0.199,7.055679,0.068,,transit,2014,,0.88,5299,
Kepler-292e,,0.238,11.97901,0.097,,transit,2014,,0.88,5299,
Kepler-292f,,0.21,20.834237,0.141,,transit,2014,,0.88,5299,
Kepler-293b,,0.274,19.254196,0.144,,transit,2014,,1.01,5804,
Kepler-293c,,0.342,54.155743,0.286,,transit,2014,,1.01,5804,
Kepler-294b,,0.158,3.701212,0.048,,transit,2014,,,5913,
Kepler-294c,,0.242,6.6264,0.071,,transit,2014,,,5913,
Kepler-295b,,0.109,12.645164,0.099,,transit,2014,,,5603,
Kepler-295c,,0.104,21.526258,0.142,,transit,2014,,,5603,
Kepler-295d,,0.121,33.884054,0.192,,transit,2014,,,5603,
Kepler-296b,,0.144,10.864384,0.079,,transit,2014,740,0.5,3740,
Kepler-296c,,0.178,5.8416366,0.0521,,transit,2014,740,0.5,3740,
Kepler-296d,,0.186,19.850291,0.118,,transit,2014,740,0.5,3740,
Kepler-296e,,0.136,34.14211,0.169,,transit,2014,740,0.5,3740,
Kepler-296f,,0.161,63.33627,0.255,,transit,2014,740,0.5,3740,
Kepler-297b,,0.256,38.871826,0.217,,transit,2014,,,5619,
Kepler-297c,,0.583,74.920137,0.336,,transit,2014,,,5619,
Kepler-298b,,0.175,10.475464,0.08,,transit,2014,,0.65,4465,
Kepler-298c,,0.172,22.92881,0.136,,transit,2014,,0.65,4465,
Kepler-298d,,0.223,77.473633,0.305,,transit,2014,,0.65,4465,
Kepler-299b,,0.118,2.927128,0.04,,transit,2014,,0.97,5617,
Kepler-299c,,0.236,6.885875,0.07,,transit,2014,,0.97,5617,
Kepler-299d,,0.166,15.054786,0.118,,transit,2014,,0.97,5617,
Kepler-299e,,0.167,38.285489,0.22,,transit,2014,,0.97,5617,
Kepler-300b,,0.149,10.446347,0.094,,transit,2014,,0.94,5986,
Kepler-300c,,0.201,40.714955,0.232,,transit,2014,,0.94,5986,
Kepler-301b,,0.12,2.508553,0.036,,transit,2014,,0.91,5815,
Kepler-301c,,0.12,5.419026,0.06,,transit,2014,,0.91,5815,
Kepler-301d,,0.156,13.751243,0.112,,transit,2014,,0.91,5815,
Kepler-302b,,0.362,30.184104,0.193,,transit,2014,,,5740,
Kepler-302c,,1.111,127.282184,0.503,,transit,2014,,,5740,
Kepler-303b,,0.079,1.937055,0.024,,transit,2014,,0.59,3944,
Kepler-303c,,0.102,7.061149,0.057,,transit,2014,,0.59,3944,
Kepler-304b,,0.255,3.295709,0.039,,transit,2014,,0.8,4731,
